profile_id	ecopart_datetime	ecopart_depth	amundsen_cast_number	amundsen_station	amundsen_time	amundsen_depth	depth_delta_m	ecopart_temperature_degC	amundsen_temperature_degC	temperature_delta_degC	ecopart_salinity_psu	amundsen_salinity_psu	ecopart_fluorescence_mg_chl_m3	amundsen_fluorescence_ug_l	ecopart_pressure_db	amundsen_pres_db	amundsen_lat	amundsen_lon	ecopart_lat	ecopart_lon
ips_007	2018-07-16 13:54:01	2.5	7	1	2018-07-16T13:57:04Z	2.9699139414327913	0.4699139414327913	-0.7507692307692307	-0.748	-0.002769230769230746		30.467	0.8177646153846153	0.797	3.5999999999999996	3.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	7.5	7	1	2018-07-16T13:57:04Z	7.919674368789857	0.419674368789857	-0.7746880000000003	-0.767	-0.00768800000000025		30.769	0.7731783999999999	0.729	7.400000000000001	8.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	12.5	7	1	2018-07-16T13:57:04Z	12.869314635096767	0.3693146350967673	-0.74848	-0.738	-0.010480000000000045		30.762	0.8960559999999999	0.849	12.4	13.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	17.5	7	1	2018-07-16T13:57:04Z	17.818834758895566	0.3188347588955658	-0.8041799999999999	-0.858	0.05382000000000009		31.224	1.1230776	1.079	17.4	18.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	22.5	7	1	2018-07-16T13:57:04Z	22.768234758725647	0.2682347587256473	-1.0802159999999998	-1.119	0.03878400000000015		31.521	1.526424	1.46	22.399999999999995	23.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	27.5	7	1	2018-07-16T13:57:04Z	27.717514653123803	0.21751465312380347	-1.3033439999999998	-1.325	0.02165600000000012		31.709	0.9894951999999998	0.878	27.4	28.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	32.5	7	1	2018-07-16T13:57:04Z	32.66667446062415	0.1666744606241508	-1.430624	-1.445	0.014376000000000166		31.786	0.7844275999999999	0.749	32.4	33.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	37.5	7	1	2018-07-16T13:57:04Z	37.615714199758216	0.11571419975821584	-1.5313679999999994	-1.542	0.010632000000000641		31.907	0.7830484	0.768	37.4	38.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	42.5	7	1	2018-07-16T13:57:04Z	42.564633889054846	0.06463388905484635	-1.5930959999999998	-1.59	-0.0030959999999997656		31.994	0.8069780000000002	0.802	42.4	43.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	47.5	7	1	2018-07-16T13:57:04Z	47.513433547040286	0.013433547040285987	-1.583496	-1.595	0.011503999999999959		32.1	0.6628383999999999	0.613	47.4	48.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	52.5	7	1	2018-07-16T13:57:04Z	52.46211319223812	0.03788680776187903	-1.5360999999999996	-1.534	-0.0020999999999995467		32.264	0.4400204000000001	0.38	52.4	53.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	57.5	7	1	2018-07-16T13:57:04Z	57.41067284316933	0.08932715683067016	-1.491124	-1.477	-0.014123999999999803		32.405	0.3107216	0.254	57.4	58.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	62.5	7	1	2018-07-16T13:57:04Z	62.35911251835221	0.14088748164778764	-1.4623320000000002	-1.473	0.0106679999999999		32.546	0.3419435999999999	0.327	62.39999999999999	63.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	67.5	7	1	2018-07-16T13:57:04Z	67.30743223630247	0.19256776369752515	-1.489316	-1.492	0.0026839999999999087		32.613	0.3851744000000001	0.37	67.4	68.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	72.5	7	1	2018-07-16T13:57:04Z	72.25563201553317	0.24436798446683383	-1.480408	-1.467	-0.013407999999999864		32.758	0.3820476	0.377	72.4	73.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	77.5	7	1	2018-07-16T13:57:04Z	77.20371187455471	0.2962881254452867	-1.4879640000000005	-1.464	-0.02396400000000054		32.824	0.30182	0.264	77.4	78.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	82.5	7	1	2018-07-16T13:57:04Z	82.1516718318749	0.34832816812509293	-1.4878280000000002	-1.454	-0.03382800000000019		32.861	0.2445719999999999	0.197	82.4	83.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	87.5	7	1	2018-07-16T13:57:04Z	87.09951190599884	0.4004880940011617	-1.413084	-1.371	-0.04208400000000001		32.935	0.2052051999999999	0.158	87.40000000000002	88.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	92.5	7	1	2018-07-16T13:57:04Z	92.04723211542908	0.45276788457091754	-1.2543720000000005	-1.268	0.01362799999999953		33.041	0.1464028	0.109	92.4	93.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	97.5	7	1	2018-07-16T13:57:04Z	97.98433817139728	0.4843381713972832	-1.2623040000000003	-1.273	0.010695999999999595		33.109	0.1188603999999999	0.083	97.4	99.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	102.5	7	1	2018-07-16T13:57:04Z	102.93179474361716	0.43179474361716075	-1.2404160000000002	-1.223	-0.017416000000000098		33.188	0.10625092	0.069	102.4	104.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	107.5	7	1	2018-07-16T13:57:04Z	107.87913151033352	0.3791315103335222	-1.32486	-1.375	0.05014000000000007		33.257	0.1235288	0.109	107.4	109.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	112.5	7	1	2018-07-16T13:57:04Z	112.82634849003794	0.32634849003794386	-1.388644	-1.395	0.006356000000000028		33.286	0.1321668	0.099	112.40000000000002	114.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	117.5	7	1	2018-07-16T13:57:04Z	117.77344570121912	0.27344570121911715	-1.402792	-1.398	-0.0047920000000001295		33.34	0.0907083999999999	0.056	117.4	119.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	122.5	7	1	2018-07-16T13:57:04Z	122.72042316236328	0.22042316236327508	-1.403576	-1.405	0.0014240000000000919		33.394	0.08840632	0.058	122.4	124.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	127.5	7	1	2018-07-16T13:57:04Z	127.66728089195384	0.16728089195383689	-1.332096	-1.225	-0.10709599999999986		33.424	0.0854072	0.059	127.4	129.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	132.5	7	1	2018-07-16T13:57:04Z	132.61401890847176	0.11401890847176332	-1.161288	-1.176	0.014711999999999836		33.479	0.0598439599999999	0.027	132.4	134.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	137.5	7	1	2018-07-16T13:57:04Z	137.56063723039526	0.06063723039525826	-1.251564	-1.274	0.022436000000000123		33.51	0.05874936	0.041	137.4	139.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	142.5	7	1	2018-07-16T13:57:04Z	142.50713587619987	0.0071358761998681075	-1.317768	-1.344	0.026232000000000033		33.531	0.05465828	0.023	142.4	144.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	147.5	7	1	2018-07-16T13:57:04Z	147.45351486435854	0.046485135641461284	-1.3647240000000005	-1.378	0.0132759999999994		33.554	0.05145844	0.023	147.4	149.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	152.5	7	1	2018-07-16T13:57:04Z	152.39977421334166	0.10022578665834203	-1.3432520000000003	-1.323	-0.02025200000000038		33.574	0.06031088	0.025	152.4	154.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	157.5	7	1	2018-07-16T13:57:04Z	157.34591394161689	0.15408605838311473	-1.3218959999999995	-1.331	0.009104000000000445		33.595	0.05402236	0.026	157.4	159.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	162.5	7	1	2018-07-16T13:57:04Z	162.2919340676492	0.20806593235079163	-1.314596	-1.296	-0.018596000000000057		33.61	0.0520324799999999	0.023	162.4	164.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	167.5	7	1	2018-07-16T13:57:04Z	167.2378346099011	0.26216539009888606	-1.2665800000000005	-1.298	0.03141999999999956		33.634	0.04990028	0.018	167.4	169.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	172.5	7	1	2018-07-16T13:57:04Z	172.18361558683222	0.316384413167782	-1.295008	-1.293	-0.0020080000000000098		33.638	0.05092724	0.02	172.4	174.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	177.5	7	1	2018-07-16T13:57:04Z	177.12927701689972	0.3707229831002792	-1.2667119999999998	-1.25	-0.016711999999999838		33.647	0.0504036	0.019	177.4	179.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	182.5	7	1	2018-07-16T13:57:04Z	182.07481891855812	0.4251810814418775	-1.10586	-1.048	-0.05786000000000002		33.696	0.04857012	0.017	182.4	184.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	187.5	7	1	2018-07-16T13:57:04Z	187.0202413102592	0.47975868974080527	-0.9905320000000002	-0.956	-0.03453200000000023		33.717	0.04735556	0.018	187.4	189.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	192.5	7	1	2018-07-16T13:57:04Z	192.9545904531331	0.45459045313310753	-0.8583919999999999	-0.8	-0.05839199999999989		33.762	0.04683312	0.014	192.4	195.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	197.5	7	1	2018-07-16T13:57:04Z	197.89974998786553	0.3997499878655333	-0.6961399999999999	-0.634	-0.06213999999999986		33.79	0.04656128	0.017	197.4	200.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	202.5	7	1	2018-07-16T13:57:04Z	202.8447900716687	0.34479007166871156	-0.547212	-0.432	-0.11521200000000004		33.828	0.04530612	0.016	202.4	205.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	207.5	7	1	2018-07-16T13:57:04Z	207.78971072298347	0.28971072298347167	-0.3784400000000001	-0.315	-0.06344000000000011		33.856	0.0464239999999999	0.015	207.4	210.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	212.5	7	1	2018-07-16T13:57:04Z	212.73451196024783	0.23451196024782917	-0.287552	-0.212	-0.07555199999999998		33.878	0.04559008	0.015	212.4	215.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	217.5	7	1	2018-07-16T13:57:04Z	217.67919380189724	0.17919380189724166	-0.15898	-0.13	-0.028980000000000006		33.902	0.0453591199999999	0.015	217.4	220.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	222.5	7	1	2018-07-16T13:57:04Z	222.62375626636455	0.12375626636455195	-0.070132	0.005	-0.075132		33.93	0.04485752	0.014	222.4	225.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	227.5	7	1	2018-07-16T13:57:04Z	227.56819937207987	0.06819937207987437	-0.012672	0.027	-0.039672		33.948	0.0459635199999999	0.019	227.4	230.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	232.5	7	1	2018-07-16T13:57:04Z	232.5125231374708	0.0125231374707937	0.084544	0.212	-0.127456		33.972	0.04565568	0.016	232.40000000000003	235.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	237.5	7	1	2018-07-16T13:57:04Z	237.45672758096205	0.04327241903794743	0.330924	0.441	-0.11007600000000001		34.011	0.04474556	0.013	237.40000000000003	240.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	242.5	7	1	2018-07-16T13:57:04Z	242.4008127209761	0.09918727902390856	0.456144	0.419	0.03714400000000001		34.022	0.04373164	0.014	242.40000000000003	245.0	68.3096	-60.3925	68.3094	-60.3926
ips_007	2018-07-16 13:54:01	247.5	7	1	2018-07-16T13:57:04Z	247.3447785759323	0.15522142406769035	0.298168	0.224	0.07416799999999998		34.017	0.0442345999999999	0.014	247.40000000000003	250.0	68.3096	-60.3925	68.3094	-60.3926
